"marker","129S1/SvImJ","A/J","C57BL/6J","CAST/EiJ","NOD/ShiLtJ","NZO/HILtJ","PWK/PhJ","WSB/EiJ"
"backupJAX00046685",0.0235,0.013,0.02,0.658,0.01,0.025,0.638,0.782
"backupJAX00046777",1.314,0.8955,0.925,1.2905,1.17,0.9165,1.137,1.26
"backupJAX00047030",1.004,0.0205,0.963,0.0215,0.949,0.931,0.0215,0.962
"backupJAX00047530",0.009,0.5165,0.034,0.0155,0.311,0.4965,0.0145,0.542
"backupJAX00049286",0.8085,0.0115,0.826,0.008,0.763,0.022,0.0125,0.016
"backupJAX00050647",1.036,0.7485,0.71,1.1065,0.919,0.7775,1.1315,0.738
"backupJAX00050708",1.136,1.204,1.12,1.0175,1.27,0.0385,0.041,0.037
"backupJAX00050727",0.016,0.9905,1.05,0.0115,0.01,0.01,0.019,0.985
"backupJAX00053217",0.023,0.0245,0.016,1.2995,1.444,0.021,0.03,1.248
"backupJAX00053378",1.1535,1.1555,1.131,0.0355,1.244,1.1805,0.008,0.005
"backupJAX00053908",0.971,0.0285,0.939,0.0295,0.026,0.0225,0.026,0.944
"backupJAX00054521",0.013,1.116,1.024,0.024,0.015,1.089,1.123,0.014
"backupJAX00055971",0.7015,0.014,0.657,0.002,0.003,0.678,0.551,0
"backupJAX00056406",0.0165,0.011,0.008,1.0545,0.011,0.008,1.156,1.161
"backupJAX00056460",1.1595,1.1715,0.146,0.104,0.254,0.1455,1.2135,1.176
"backupJAX00057154",0.848,0.8265,0.723,0.017,0.012,0.7695,0.028,0.782
"backupJAX00057379",0.016,0.032,1.188,0.019,1.443,1.187,1.3445,1.221
"backupJAX00061090",0.8655,0.026,0.02,0.0065,0.783,0.0195,0.845,0.003
"backupJAX00061972",0.045,0.051,0.052,0.045,0.889,0.0515,0.9855,1.019
"backupJAX00062494",0.802,0.0065,0.007,0.6545,0.004,0.0065,0.5685,0.859
"backupJAX00062769",0.945,0.8375,0.945,0.0065,0.595,0.9725,0.001,0
"backupJAX00062978",0.015,0.793,0.022,0.755,0.017,0.017,0.768,0.023
"backupJAX00064201",0.0285,0.8385,0.016,0.008,0.597,0.0185,0.0125,0.891
"backupJAX00066615",0.0075,0.0095,0.004,1.078,0.009,0.014,1.2265,1.105
"backupJAX00067035",0.895,0.9755,0.928,0.0095,0.932,0.94,0.0075,0.008
"backupJAX00067306",0.0515,0.0545,0.045,1.115,0.054,0.0525,1.05,1.011
"backupJAX00067331",0.0995,0.069,0.064,1.117,0.07,0.0975,1.1515,1.07
"backupJAX00067714",1.124,0.0095,0.019,0.012,0.009,1.13,0.0145,1.089
"backupJAX00067826",1.231,1.167,0.004,0.028,1.171,0.0175,0.0115,0.004
"backupJAX00069624",0.7905,0.7605,0.862,0.0355,0.621,0.8305,0.032,0.032
"backupJAX00071321",1.488,0.069,1.475,0.0635,1.671,0.077,0.056,0.06
"backupJAX00071704",0.0145,0.017,0.014,0.9075,0.019,0.0135,0.9525,1.019
"backupJAX00076877",0.153,0.897,0.883,0.1585,0.07,0.8735,0.057,0.146
"backupJAX00077096",1.024,1.049,1.147,0.066,0.863,1.0525,0.057,0.079
"backupJAX00077229",0.713,0.6305,0.692,0.087,0.422,0.6745,0.051,0.062
"backupJAX00077272",0.107,0.026,0.086,0.827,0.133,0.1045,0.944,0.939
"backupJAX00077565",0.0665,0.857,0.06,0.9055,0.817,0.065,0.0275,0.019
"backupJAX00077958",0.99,0.9705,0.057,1.0375,0.274,0.922,0.9735,0.187
"backupJAX00078790",0.9735,1.0725,0.99,0.1445,0.913,0.907,0.1135,0.116
"backupJAX00080129",0.0985,0.0585,0.037,0.9985,0.031,0.0435,0.8755,1.082
"backupJAX00085710",0.147,1.41,1.3,0.136,1.582,1.412,0.125,0.112
"backupJAX00086312",0.992,1.0145,0.945,0.0285,1.008,1.0385,0.023,0.02
"backupJAX00087393",1.24,1.2065,1.195,0.1105,0.148,0.1245,0.1315,1.201
"backupJAX00088399",0.0035,1.25,1.167,0.002,1.269,1.23,0.0035,1.277
"backupJAX00088675",0.938,0.023,0.76,0.0255,1.008,0.022,0.0155,0.023
"backupJAX00089271",1.161,1.2335,0.033,0.0465,1.362,0.0405,0.0345,0.03
"backupJAX00089352",1.3075,0.0205,1.336,0.0295,0.016,1.402,0.0165,1.305
"backupJAX00091546",1.041,1.0525,1.081,0.0145,0.939,1.091,0.0105,0.009
"backupJAX00093057",1.2035,1.423,1.279,0.058,1.542,1.3525,0.063,0.056
"backupJAX00094100",0.0055,1.1775,1.149,0.0155,1.106,1.2385,0.014,1.264
"backupJAX00095716",0.0295,1.2785,0.025,0.0245,1.229,0.0345,1.2525,0.03
"backupJAX00098146",0.0265,1.1365,1.015,1.137,0.026,1.106,1.168,0.123
"backupJAX00099584",0.0085,0.951,0.91,1.1325,0.956,0.0145,1.0125,0.008
"backupJAX00099820",0.019,0.6485,0.013,1.343,0.019,0.0195,1.3475,0.018
"backupJAX00102906",1.186,0.006,0.01,0.0075,0.008,0.009,1.376,1.209
"backupJAX00103920",0.013,0.87,0.01,0.867,0.007,0.0095,0.8195,0.009
"backupJAX00104542",1.469,0.036,0.033,1.554,0.039,0.0335,1.594,0.026
"backupJAX00105129",0.9505,0.987,1.004,0.04,0.946,0.9965,0.0145,0.026
"backupJAX00105375",0.6215,0.5995,0.678,0.541,0.007,0.0055,0.005,0.675
"backupJAX00105776",1.2615,1.2545,1.169,0.3595,1.306,1.2385,0.392,0.376
"backupJAX00106851",1.386,0.0435,1.327,0.0515,1.425,1.38,0.044,0.036
"backupJAX00107182",1.135,0.08,1.136,0.8655,0.107,1.129,0.0635,0.077
"backupJAX00107677",0.826,0.883,0.971,0.0925,0.147,0.9165,0.074,0.069
"backupJAX00108182",0.01,1.0985,1.048,1.191,1.116,0.0265,0.0195,0.019
"backupJAX00108203",0.007,1.236,0.003,1.2815,1.229,0.0025,1.176,1.184
"backupJAX00110129",0.0105,1.1145,0.019,1.267,0.02,1.0955,1.2375,1.097
"backupJAX00111083",0.793,0.8675,0.95,0.004,0.003,0.0195,0.013,0.013
"backupJAX00111594",0.1095,0.1135,0.094,0.997,0.149,0.9485,0.9635,0.087
"backupJAX00112535",0.9165,0.034,0.034,0.996,0.019,0.0195,0.9475,0.969
"backupJAX00114148",0.8945,0.001,0.005,0.9155,0.685,0.0035,0.832,0.932
"backupJAX00115227",0.7885,5e-04,0.784,0.0035,0.006,0.0035,0.0035,0.002
"backupJAX00116373",0.628,0.022,0.613,0.024,0.55,0.04,0.0295,0.63
"backupJAX00117641",0.0165,0.015,0.016,1.378,0.017,0.0115,1.327,1.261
"backupJAX00118652",0.1045,1.118,1.157,0.099,1.014,0.106,0.111,1.102
"backupJAX00119023",0.0655,1.2525,0.053,1.423,0.073,0.06,1.383,1.176
"backupJAX00119690",0.7865,0.004,0.007,0.016,0.824,0.8385,0.896,0.001
"backupJAX00124429",0.373,0.39,0.339,0.0055,0.005,0.3505,0.0035,0
"backupJAX00125209",1.3985,0.1205,1.429,1.4955,1.62,1.461,0.1195,0.08
"backupJAX00126650",0.798,0.016,0.012,0.888,0.774,0.018,0.83,0.878
"backupJAX00130547",0.0165,0.022,0.022,0.686,0.021,0.0145,0.6675,0.849
"backupJAX00130755",0.8265,0.005,0.9,0.003,0.004,0.8845,0.843,0.01
"backupJAX00131367",0.954,0.0145,0.021,0.017,0.009,1.0245,0.023,0.999
"backupJAX00132092",1.032,1.006,1.036,0.0275,0.027,0.991,0.0175,0.019
"backupJAX00132786",0.937,0.0365,0.03,0.037,0.848,0.992,0.0285,0.03
"backupJAX00133664",1.0775,0.0135,0.017,1.2225,0.011,0.0095,1.205,0.011
"backupJAX00136775",1.3445,1.392,0.002,0.009,0.005,0.0105,1.391,1.351
"backupJAX00138747",1.4885,1.429,1.408,1.65,0.02,1.443,0.022,0.012
"backupJAX00140229",0.418,0.4115,0.332,1.302,0.492,0.3685,1.357,1.334
"backupJAX00141372",0.804,0.0055,0.01,0.0105,0.009,0.766,0.742,0.01
"backupJAX00141922",0.8305,0.867,0.927,0.018,0.731,0.83,0.024,0.027
"backupJAX00143061",0.023,0.012,0.018,1.0105,0.01,1.0955,1.152,0.018
"backupJAX00143602",0.0215,0.0155,1.303,0.0195,0.015,1.313,0.0175,1.248
"backupJAX00143623",0.009,0.014,0.012,1.452,0.011,0.0145,1.3845,1.269
"backupJAX00143772",0.888,0.0125,0.803,0.011,0.798,0.863,0.853,0.004
"backupJAX00144209",1.1095,1.1165,1.006,0.022,1.089,1.107,0.01,0.013
"backupJAX00144476",1.072,1.0085,1.009,0.0155,0.9,1.058,0.0125,0.014
"backupJAX00150273",0.0625,0.0765,1.411,1.5075,0.058,1.4915,1.618,1.398
"backupJAX00151051",1.1085,1.034,1.019,0.0815,0.99,1.0405,0.0695,0.063
"backupJAX00151710",0.0155,1.095,0.01,1.1755,0.009,1.1335,1.1115,0.01
"backupJAX00152356",1.021,1.088,1.163,0.0075,0.97,1.1135,0.0055,0.006
"backupJAX00152385",1.448,1.545,1.488,0.0535,1.64,1.519,0.049,0.045
"backupJAX00153283",0.058,0.0725,1.322,0.0825,0.07,1.456,0.0735,1.369
"backupJAX00153545",0.007,1.032,0.012,0.0045,1.027,1.0185,0.0125,0.966
"backupJAX00155215",1.395,1.3025,1.268,0.0535,0.041,1.3345,0.069,0.065
"backupJAX00155356",0.029,0.0325,1.293,1.3705,0.02,0.032,1.417,0.021
"backupJAX00155914",1.1925,0.019,1.291,1.138,0.019,0.0195,0.9365,0.02
"backupJAX00155998",0.003,0.88,0.893,0.003,0.728,0.9,0,0.897
"backupJAX00157605",1.288,1.372,1.234,0.0165,1.708,0.0235,0.018,1.322
"backupJAX00158395",0.0025,0.702,0.814,0.003,0.417,0.717,0.002,0.005
"backupJAX00158646",1.612,1.604,1.543,0.0765,1.776,0.069,0.0835,1.646
"backupJAX00159316",0.0615,0.0555,1.163,1.222,0.052,1.145,1.1775,0.049
"backupJAX00159379",0.027,0.0155,0.024,1.091,0.024,1.1135,1.1845,1.107
"backupJAX00160747",0.057,0.0475,0.799,0.84,0.028,0.0525,0.778,0.059
"backupJAX00161279",1.545,1.4845,1.451,0.0555,1.678,1.5585,0.054,0.042
"backupJAX00161354",1.2345,1.2565,1.216,0.014,1.381,1.303,0.0075,0.015
"backupJAX00162167",0.0865,0.0795,0.076,1.157,1.194,0.0845,1.202,0.064
"backupJAX00164446",0.034,1.251,0.07,1.075,0.044,0.0355,1.3205,0.071
"backupJAX00164884",1.1705,1.205,0.017,0.0165,0.027,1.158,0.0205,1.139
"backupJAX00165125",0.006,0.8725,0.005,0.0115,0.86,0.0055,0.007,0.838
"backupJAX00165969",1.121,1.165,1.11,0.032,1.265,1.1225,0.024,0.025
"backupJAX00166193",0.03,0.0225,0.015,1.48,0.025,0.026,1.505,1.288
"backupJAX00166267",0.7635,0.796,0.801,0.0075,0.656,0.808,0.004,0.004
"backupJAX00167343",1.347,1.446,1.361,0.1375,1.627,1.4375,0.123,0.083
"backupJAX00168194",0.84,0.8065,0.877,0.036,0.576,0.8155,0.0295,0.029
"backupJAX00168402",1.4835,1.4815,1.342,0.1945,1.806,1.483,0.1415,0.161
"backupJAX00169395",0.9455,0.9885,0.937,0.144,0.987,0.0205,0.1255,0.143
"backupJAX00170413",1.221,1.242,0.013,0.02,1.32,0.02,0.0215,1.215
"backupJAX00171259",1.1585,0.037,1.104,0.0405,0.027,1.164,0.0415,1.153
"backupJAX00172073",1.0665,0.4725,1.091,0.4695,0.524,0.4365,0.45,1.12
"backupJAX00174199",0.005,0.583,0.632,0.011,0.455,0.6,0.014,0.664
"backupJAX00174696",0.0115,0.0125,0.705,0.85,0.004,0.7505,0.83,0.013
"backupJAX00179850",0.0425,0.033,0.029,0.9885,0.03,0.0335,0.989,0.966
"backupJAX00180788",0.0135,0.8915,0.011,1.0175,0.013,0.9165,0.972,0.819
"backupJAX00181040",0.0195,0.015,0.015,0.7045,0.014,0.019,0.707,0.704
"backupJAX00182262",0.702,0.7515,0.599,0.032,0.843,0.7325,0.028,0.03
"backupJAX00183987",0.003,0.8125,0.007,0.0045,0.014,0.0045,0.7945,0.752
"backupJAX00184922",1.031,0.0285,0.02,0.029,1.17,1.065,0.03,0.984
"backupJAX00186102",1.046,1.002,0.874,0.095,1.065,0.0855,0.083,0.887
"backupJAX00186716",0.041,0.037,0.017,0.4935,0.052,0.0275,0.4965,0.352
"backupJAX00195348",0.6375,0.578,0.582,0.0145,0.526,0.5995,0.0185,0.018
"backupJAX00195786",0.0435,0.0355,0.034,0.681,0.031,0.034,0.7525,1.029
"backupJAX00196449",1.3715,1.3135,1.216,0.0895,1.468,1.294,0.0515,0.096
"backupJAX00198752",1.134,1.151,1.17,0.0975,1.014,1.1555,0.0795,0.048
"backupJAX00199551",0.012,0.01,0.02,0.7755,0.007,0.016,0.784,0.756
"backupJAX00200366",0.036,0.0075,0.031,0.5565,0.033,0.033,0.58,0.631
"backupJAX00201003",1.5025,1.437,1.424,0.044,0.038,0.0385,0.03,0.032
"backupJAX00203958",0.62,0.596,0.565,0.0305,0.535,0.1305,0.136,0.608
"backupJAX00215642",0.0405,0.037,0.039,1.2425,0.036,0.037,1.2145,1.319
"backupJAX00215705",0.9015,0.8425,0.845,0.005,0.673,0.9015,0.006,0.01
"backupJAX00230053",0.954,1.16,1.144,0.033,1.189,0.0315,0.0325,1.109
"backupJAX00230442",1.509,1.547,1.423,1.61,1.763,0.041,0.0535,0.042
"backupJAX00234151",0.984,1.001,0.965,0.025,1.056,0.9655,0.0225,0.021
"backupJAX00238910",0.0185,0.017,0.02,0.7925,0.011,0.0195,0.7085,0.723
"backupJAX00239017",0.0215,0.022,0.013,0.5115,0.018,0.016,0.4185,0.526
"backupJAX00251301",1.425,1.5005,1.416,1.6345,1.714,0.19,0.0345,0.15
"backupJAX00252178",0.5985,0.599,0.719,0.0345,0.325,0.0385,0.036,0.726
"backupJAX00252274",0.0055,1.0465,0.007,1.09,1.006,0.0635,0.008,1.115
"backupJAX00254338",1.111,1.135,1.114,0.0255,1.27,1.1345,0.017,0.086
"backupJAX00256554",1.0985,1.067,1.075,0.0705,1.168,1.1035,0.033,0.055
"backupJAX00257246",0.227,1.0475,0.033,0.078,1.018,0.194,0.0885,0.934
"backupJAX00257750",1.6125,1.553,1.461,0.057,0.052,1.614,0.061,1.52
"backupJAX00258310",0.979,0.9685,0.083,0.1125,1.025,0.9935,0.0915,0.085
"backupJAX00262611",0.9345,0.873,0.832,0.025,0.769,0.0315,0.03,0.881
"backupJAX00265198",0.752,0.679,0.014,0.0085,0.002,0.7225,0.0105,0.718
"backupJAX00266606",0.003,5e-04,0.002,0.7755,0.003,0.003,0.749,0.742
"backupJAX00269153",0.948,0.0075,0.875,0.01,0.932,0.988,0.013,0.97
"backupJAX00271975",0.741,0.7475,0.697,0.0135,0.025,0.7405,0.7795,0.013
"backupJAX00272176",0.0145,0.015,0.018,1.2935,0.01,0.0165,1.305,1.288
"backupJAX00277549",0.0865,0.0765,0.033,1.2915,0.071,1.17,1.2235,0.033
"backupJAX00285124",0.0415,1.215,0.037,1.244,0.039,1.216,1.2925,1.211
"backupJAX00286389",1.3,1.275,1.253,0.033,1.39,1.3125,0.0355,0.029
"backupJAX00286714",0.907,0.885,0.911,0.0315,0.64,0.9195,0.0315,0.036
"backupJAX00286841",0.7015,0.656,0.613,0.0115,0.566,0.677,0.0095,0
"backupJAX00286894",0.8745,0.854,0.93,0.0155,0.687,0.855,0.0125,0.016
"backupJAX00286915",0.045,0.043,0.044,1.237,0.042,0.0485,1.219,1.158
"backupJAX00287039",0.5385,0.5125,0.462,0.0135,0.462,0.48,0.013,0.009
"backupJAX00287563",0.0225,0.021,0.019,0.929,0.014,0.892,0.877,0.022
"backupJAX00288745",0.0055,0.008,0.006,1.0675,0.006,0.006,1.004,1.135
"backupJAX00288802",0.0535,0.0485,0.04,0.7415,0.073,0.049,0.727,0.86
"backupJAX00288829",0.8895,0.8185,0.922,0.0165,0.665,0.8215,0.017,0.017
"backupJAX00289345",0.482,0.445,0.484,5e-04,0.239,0.4305,0.004,0.003
"backupJAX00289573",1.082,1.0435,1.015,0.0225,1.041,1.114,0.012,0.023
"backupJAX00289594",1.081,1.1265,1.164,0.0315,0.986,1.1405,0.0225,0.02
"backupJAX00289774",0.04,0.039,0.025,0.8145,0.039,0.0305,0.8075,0.739
"backupJAX00290606",1.154,1.174,1.121,0.019,1.365,1.204,0.013,0.017
"backupJAX00290713",1.102,1.1805,1.093,0.088,1.305,1.14,0.064,0.045
"backupJAX00290771",0.8495,0.9415,0.984,0.026,0.8,0.8785,0.024,0.032
"backupJAX00290857",1.627,1.6755,1.503,0.027,1.907,1.6135,0.0225,0.015
"backupJAX00290965",0.0195,0.0145,0.013,0.8225,0.016,0.017,0.7995,0.715
"backupJAX00292201",1.235,1.2335,1.139,0.023,0.007,1.2515,1.347,0.008
"backupJAX00293274",0.6955,0.6975,0.659,0,0.561,0.685,5e-04,0
"backupJAX00293747",1.1675,1.309,1.141,0.0225,1.513,1.242,0.0215,0.02
"backupJAX00293794",1.1365,1.174,1.025,0.039,1.302,1.161,0.0335,0.022
"backupJAX00294607",0.937,0.942,0.99,0.0455,0.929,0.9675,0.0465,0.041
"backupJAX00298508",0.011,0.0015,0,1.124,0.008,0.005,1.149,1.195
"backupJAX00299162",0.027,0.0225,0.017,1.1265,0.017,0.0245,1.239,1.206
"backupJAX00299214",0.8545,0.888,0.983,0.012,0.579,0.927,0.01,0.013
"backupJAX00299792",0.085,0.0965,0.095,0.876,0.108,0.105,0.7935,0.875
"backupJAX00301749",0.04,0.0355,0.031,1.094,0.035,0.047,1.15,0.984
"backupJAX00302484",0.421,0.397,0.372,0.031,0.233,0.3645,0.0365,0.034
"backupJAX00303322",0.023,0.0205,1.102,1.2005,0.013,0.0305,1.2175,0.017
"backupJAX00308663",0.0685,0.068,0.978,1.084,1.039,1.045,1.067,0.018
"backupJAX00309564",0.704,0.7355,0.755,0.0285,0.014,0.032,0.018,0.758
"backupJAX00311063",1.065,1.1125,1.079,0.025,1.335,0.0175,0.0245,1.078
"backupJAX00311229",0.9615,1.06,1.011,1.017,0.051,1.011,0.0555,0.048
"backupJAX00321440",1.0285,1.0185,0.974,0.033,1.019,0.0445,0.0375,0.006
"backupJAX00322333",1.518,0.042,1.404,0.0175,1.732,1.56,0.015,0.023
"backupJAX00323386",1.5155,1.55,1.486,0.0375,1.569,1.5855,0.04,0.034
"backupJAX00327043",1.22,0.026,0.028,0.034,1.404,1.382,0.027,0.035
"backupJAX00330810",0.023,0.0125,0.016,1.2635,0.01,0.0165,1.277,1.235
"backupJAX00330966",0.029,0.027,0.028,1.1715,0.026,0.031,1.092,1.191
"backupJAX00332542",0.0115,0.7065,0.677,0.015,0.004,0.016,0.0095,0.678
"backupJAX00333590",1.073,0.034,0.032,1.053,0.033,0.0415,0.8895,0.035
"backupJAX00334172",0.0455,1.172,1.13,0.051,1.338,1.199,0.048,1.16
"backupJAX00342453",1.3145,1.26,1.195,0.012,1.382,0.0085,0.0125,1.213
"backupJAX00343251",0.955,0.008,0.961,0.0055,1.062,0.9975,0.003,0.953
"backupJAX00343655",0.0105,1.0195,1.004,0.009,0.018,0.016,0.018,0.951
"backupJAX00345217",1.244,0.027,1.264,0.024,0.029,1.283,0.028,1.257
"backupJAX00351463",0.009,0.02,0.914,0.883,0.013,0.9265,0.015,0.939
"backupJAX00353971",0.0595,1.086,0.058,0.054,0.03,1.135,0.0655,1.173
"backupJAX00354324",0.8935,0.0155,0.865,0.9,0.885,0.898,0.0125,0.016
"backupJAX00354573",0.0125,0.017,0.018,1.13,0.014,0.015,1.1755,1.208
"backupJAX00354959",0.288,0.0035,0.355,0.2515,0.149,0.299,0.0135,0.015
"backupJAX00355974",0.9015,0.8735,0.016,0.019,0.786,0.867,0.014,0.016
"backupJAX00357503",0.984,0.9945,0.991,0.0195,1.006,1.0145,0.008,0.005
"backupJAX00358818",1.4815,1.5615,1.522,0.0155,1.797,1.543,0.0145,0.009
"backupJAX00359380",0.0165,1.26,1.167,1.3595,0.02,1.277,0.021,0.014
"backupJAX00359396",0.9185,0.018,0.78,0.9765,0.026,0.92,0.994,0.016
"backupJAX00359615",0.0285,0.0255,0.025,1.028,0.029,0.031,0.979,0.904
"backupJAX00361932",1.0455,0.017,1.1,0.0245,0.019,0.015,1.1385,1.028
"backupJAX00367266",0.7485,0.749,0.098,0.119,0.071,0.1015,0.0935,0.74
"backupJAX00370198",1.08,0.997,0.987,1.0495,0.017,0.018,0.014,0.006
"backupJAX00374979",1.141,1.085,0.99,0,1.15,1.0515,0.002,0
"backupJAX00377781",0.0495,1.091,1.061,0.0555,1.057,1.027,0.0525,1.027
"backupJAX00378240",1.1505,1.141,1.074,0.0315,0.052,1.175,1.283,0.033
"backupJAX00383007",0.087,1.056,1.013,0.0985,1.27,1.0315,0.069,0.05
"backupJAX00386445",0.6795,5e-04,0.741,0.0045,0.001,0.001,0.6205,0
"backupJAX00387582",0,0,0.004,0.365,0.001,0,0.86,0.923
"backupJAX00388013",0.807,0.8095,0.824,0.0395,0.032,0.051,0.7685,0.827
"backupJAX00389503",0.7315,0.7345,0.731,0.0295,0.034,0.743,0.71,0.041
"backupJAX00390691",1.1775,1.0795,0.016,0.02,1.12,1.133,0.02,1.063
"backupJAX00395330",0.0225,1.026,1.1,0.972,0.728,0.022,0.019,0.024
"backupJAX00396357",0.0395,1.243,0.043,1.3135,0.069,0.0545,1.2235,0.051
"backupJAX00398324",1.3445,1.45,1.455,0.0205,1.495,1.3835,0.018,0.035
"backupJAX00401097",1.107,0.0225,0.021,1.1825,0.022,0.019,1.0595,1.149
"backupJAX00402212",0.0985,0.0855,0.105,1.597,1.753,0.1025,0.0945,1.494
"backupJAX00406077",1.3575,1.4365,1.321,1.497,0.105,0.09,0.082,0.077
"backupJAX00406224",0.765,0.865,0.768,0.0215,0.018,0.014,0.018,0.781
"backupJAX00409098",1.04,1.134,1.007,0.0175,0.015,1.063,0.0155,1.042
"backupJAX00411073",0.026,0.0045,0.008,1.295,0.004,1.0915,0.01,1.086
"backupJAX00411908",0.997,1.0665,0.017,0.032,1.019,1.0505,1.128,0.022
"backupJAX00413474",1.3955,0.03,0.025,1.303,0.023,0.0325,1.501,0.027
"backupJAX00413644",0.0115,0.0155,1.038,0.023,1.204,1.064,0.024,1.098
"backupJAX00414945",0.0385,0.039,0.036,1.442,0.03,0.043,1.431,1.346
"backupJAX00415140",0.001,0.0015,0.003,0.4935,0.002,0.0045,0.5075,1.061
"backupJAX00415822",1.0505,1.0445,0.966,0.025,1.079,1.014,0.02,0.015
"backupJAX00416923",0.0215,0.0305,1.299,1.3735,1.449,1.3985,0.026,1.336
"backupJAX00417361",1.167,0.073,1.201,0.0765,1.154,1.184,0.078,1.227
"backupJAX00417799",0.9165,0.9195,1.021,0.0095,0.738,0.921,0.009,0.009
"backupJAX00418255",1.2175,1.3155,1.293,0.1055,1.221,0.0865,1.254,0.074
"backupJAX00420694",1.097,1.067,0.013,0.0175,0.97,0.0205,0.015,1.055
"backupJAX00421980",1.183,1.277,1.262,0.049,0.053,1.236,1.2925,0.046
"backupJAX00423100",0.025,0.016,0.015,1.1095,0.02,0.023,1.1035,1.184
"backupJAX00423507",0.0185,0.0205,1.112,0.0025,0.898,0.023,0.025,1.059
"backupJAX00426214",0.0015,0.0015,0,0.416,0.009,0,0.3825,0.451
"backupJAX00429894",0.0025,0.886,0.007,0.994,0.777,0.0035,0.914,0.002
"backupJAX00431050",0,0.797,0.775,0.005,0.774,0.002,0.0035,0.765
"backupJAX00432781",0.788,0.7765,0.025,0.0155,0.009,0.7645,0.017,0.023
"backupJAX00442970",0.045,0.0605,0.041,1.0455,0.078,0.04,1.1115,1.132
"backupJAX00443068",0.0335,0.031,0.045,0.773,0.027,0.04,0.8065,0.702
